ADM1_EN,ADM2_EN,ADM3_EN,ADM3_PCODE,ValidPix_Before,ValidPix_After,FAPAR_Before,FAPAR_After,FAPAR_Loss,FAPAR_Loss_Pct,Status,QA_Flag
Dhaka,Dhaka,Pallabi,BD302664,14,48,0.1514,0.0065,0.1449,95.71,Loss,OK
Sylhet,Sunamganj,Derai,BD609029,826,1821,0.1512,0.0073,0.1439,95.17,Loss,OK
Chittagong,Chittagong,Chittagong Port,BD201520,15,52,0.144,0.0064,0.1376,95.56,Loss,OK
Chittagong,Chittagong,Double Mooring,BD201528,7,37,0.1386,0.0059,0.1327,95.74,Loss,OK
Dhaka,Kishoreganj,Itna,BD304833,472,1725,0.1261,0.0064,0.1197,94.92,Loss,OK
Dhaka,Dhaka,Hazaribagh,BD302628,14,24,0.1132,0.0079,0.1053,93.02,Loss,OK
Dhaka,Dhaka,Kafrul,BD302630,1,42,0.11,0.0051,0.1049,95.36,Loss,OK
Mymensingh,Netrakona,Khaliajuri,BD457238,258,1308,0.1091,0.006,0.1031,94.5,Loss,OK
Dhaka,Dhaka,Uttara,BD302695,2,28,0.1075,0.0054,0.1021,94.98,Loss,OK
Dhaka,Dhaka,Lalbagh,BD302642,2,21,0.1,0.0055,0.0945,94.5,Loss,OK
Chittagong,Chittagong,Kotwali,BD201541,5,41,0.1,0.0056,0.0944,94.4,Loss,OK
Dhaka,Dhaka,Mohammadpur,BD302650,15,32,0.101,0.0077,0.0933,92.38,Loss,OK
Dhaka,Dhaka,Darus Salam,BD302611,3,17,0.0983,0.0059,0.0924,94.0,Loss,OK
Dhaka,Dhaka,Kadamtali,BD302632,22,41,0.0902,0.0077,0.0825,91.46,Loss,OK
Dhaka,Dhaka,Kamrangir Char,BD302634,4,7,0.0825,0.0079,0.0746,90.42,Loss,OK
Dhaka,Dhaka,Rampura,BD302667,3,14,0.0783,0.0068,0.0715,91.32,Loss,OK
Dhaka,Dhaka,Adabor,BD302602,2,9,0.0575,0.0061,0.0514,89.39,Loss,OK
Dhaka,Dhaka,Sutrapur,BD302688,1,13,0.04,0.0054,0.0346,86.5,Loss,OK
Dhaka,Dhaka,Bangshal,BD302605,0,8,,0.005,,,No Data,Check
Dhaka,Dhaka,Chak Bazar,BD302609,0,5,,0.005,,,No Data,Check
Dhaka,Dhaka,Dhanmondi,BD302616,0,14,,0.005,,,No Data,Check
Dhaka,Dhaka,Gendaria,BD302624,0,6,,0.005,,,No Data,Check
Dhaka,Dhaka,Gulshan,BD302626,0,39,,0.005,,,No Data,Check
Dhaka,Dhaka,Kalabagan,BD302633,0,6,,0.005,,,No Data,Check
Dhaka,Dhaka,Kotwali,BD302640,0,2,,0.005,,,No Data,Check
Dhaka,Dhaka,Mirpur,BD302648,0,32,,0.005,,,No Data,Check
Dhaka,Dhaka,Motijheel,BD302654,0,17,,0.005,,,No Data,Check
Dhaka,Dhaka,New Market,BD302663,0,7,,0.005,,,No Data,Check
Dhaka,Dhaka,Paltan,BD302665,0,5,,0.005,,,No Data,Check
Chittagong,Chittagong,Panchlaish,BD201557,0,29,,0.005,,,No Data,Check
Dhaka,Dhaka,Ramna,BD302666,0,15,,0.005,,,No Data,Check
Dhaka,Dhaka,Shahbagh,BD302675,0,17,,0.005,,,No Data,Check
Dhaka,Dhaka,Sher-e-bangla Nagar,BD302680,0,18,,0.005,,,No Data,Check
Dhaka,Dhaka,Shyampur,BD302676,0,10,,0.005,,,No Data,Check
Dhaka,Dhaka,Tejgaon,BD302690,0,12,,0.005,,,No Data,Check
Dhaka,Dhaka,Tejgaon Ind. Area,BD302692,0,14,,0.005,,,No Data,Check
