ADM1_EN,ADM2_EN,ADM3_EN,ADM3_PCODE,ValidPix_Before,ValidPix_After,FAPAR_Before,FAPAR_After,FAPAR_Loss,FAPAR_Loss_Pct,Status,QA_Flag
Mymensingh,Jamalpur,Jamalpur Sadar,BD453936,2170,2220,0.3072,0.0099,0.2973,96.78,Loss,OK
Sylhet,Sylhet,Fenchuganj,BD609135,413,507,0.3064,0.0091,0.2973,97.03,Loss,OK
Sylhet,Habiganj,Habiganj Sadar,BD603644,1060,1077,0.3067,0.0099,0.2968,96.77,Loss,OK
Rangpur,Rangpur,Pirganj,BD558576,1837,1845,0.3066,0.01,0.2966,96.74,Loss,OK
Sylhet,Sylhet,Jaintiapur,BD609153,1207,1222,0.3058,0.0099,0.2959,96.76,Loss,OK
Sylhet,Sylhet,Kanaighat,BD609159,1782,1800,0.3057,0.0099,0.2958,96.76,Loss,OK
Khulna,Khulna,Paikgachha,BD404764,544,1682,0.3021,0.0066,0.2955,97.82,Loss,OK
Rajshahi,Naogaon,Raninagar,BD506485,1036,1105,0.3051,0.0097,0.2954,96.82,Loss,OK
Mymensingh,Jamalpur,Sarishabari,BD453985,1136,1220,0.3047,0.0097,0.295,96.82,Loss,OK
Mymensingh,Sherpur,Jhenaigati,BD458937,928,938,0.3047,0.0099,0.2948,96.75,Loss,OK
Mymensingh,Mymensingh,Phulpur,BD456181,2542,2551,0.3048,0.01,0.2948,96.72,Loss,OK
Dhaka,Kishoreganj,Bajitpur,BD304806,489,844,0.3023,0.0079,0.2944,97.39,Loss,OK
Dhaka,Narsingdi,Roypura,BD306864,1106,1415,0.303,0.0089,0.2941,97.06,Loss,OK
Khulna,Jessore,Chaugachha,BD404111,1186,1227,0.3032,0.0098,0.2934,96.77,Loss,OK
Mymensingh,Sherpur,Nalitabari,BD458970,1467,1468,0.3033,0.01,0.2933,96.7,Loss,OK
Rajshahi,Bogra,Nandigram,BD501067,1161,1185,0.3031,0.0099,0.2932,96.73,Loss,OK
Dhaka,Kishoreganj,Pakundia,BD304879,781,786,0.3027,0.01,0.2927,96.7,Loss,OK
Rajshahi,Natore,Baraigram,BD506915,1332,1345,0.3026,0.01,0.2926,96.7,Loss,OK
Rangpur,Gaibandha,Gaibandha Sadar,BD553224,1184,1444,0.3017,0.0091,0.2926,96.98,Loss,OK
Mymensingh,Mymensingh,Haluaghat,BD456124,1596,1600,0.3026,0.01,0.2926,96.7,Loss,OK
Sylhet,Sylhet,Sylhet Sadar,BD609162,1300,1428,0.302,0.0096,0.2924,96.82,Loss,OK
Barisal,Pirojpur,Nazirpur,BD107976,920,1000,0.3015,0.0096,0.2919,96.82,Loss,OK
Chittagong,Chandpur,Kachua,BD201358,1008,1008,0.3014,0.01,0.2914,96.68,Loss,OK
Rajshahi,Bogra,Gabtali,BD501040,1099,1099,0.3013,0.01,0.2913,96.68,Loss,OK
Mymensingh,Mymensingh,Gauripur,BD456123,1272,1274,0.3009,0.01,0.2909,96.68,Loss,OK
Rajshahi,Naogaon,Sapahar,BD506486,1048,1099,0.3007,0.0098,0.2909,96.74,Loss,OK
Chittagong,Comilla,Laksam,BD201972,673,676,0.3008,0.01,0.2908,96.68,Loss,OK
Mymensingh,Netrakona,Barhatta,BD457209,1010,1037,0.3006,0.0099,0.2907,96.71,Loss,OK
Rajshahi,Pabna,Atgharia,BD507605,836,838,0.3004,0.01,0.2904,96.67,Loss,OK
Rajshahi,Nawabganj,Nachole,BD507056,1249,1266,0.3,0.0099,0.2901,96.7,Loss,OK
Rangpur,Dinajpur,Dinajpur Sadar,BD552764,1526,1613,0.2997,0.0097,0.29,96.76,Loss,OK
Rangpur,Dinajpur,Biral,BD552717,1535,1592,0.2997,0.0098,0.2899,96.73,Loss,OK
Rajshahi,Pabna,Ishwardi,BD507639,1051,1195,0.2993,0.0095,0.2898,96.83,Loss,OK
Khulna,Bagerhat,Morrelganj,BD400160,1720,1956,0.2989,0.0094,0.2895,96.86,Loss,OK
Khulna,Khulna,Batiaghata,BD404712,870,1031,0.2985,0.0092,0.2893,96.92,Loss,OK
Rangpur,Dinajpur,Fulbari,BD552738,1039,1042,0.2991,0.01,0.2891,96.66,Loss,OK
Dhaka,Kishoreganj,Katiadi,BD304845,974,994,0.2978,0.0099,0.2879,96.68,Loss,OK
Dhaka,Tangail,Gopalpur,BD309338,841,849,0.2973,0.01,0.2873,96.64,Loss,OK
Khulna,Jessore,Kotwali,BD404147,1874,1927,0.2972,0.0099,0.2873,96.67,Loss,OK
Chittagong,Brahamanbaria,Sarail,BD201294,590,980,0.2959,0.0086,0.2873,97.09,Loss,OK
Rajshahi,Bogra,Adamdighi,BD501006,731,765,0.2967,0.0098,0.2869,96.7,Loss,OK
Mymensingh,Mymensingh,Nandail,BD456172,1467,1471,0.2967,0.01,0.2867,96.63,Loss,OK
Mymensingh,Mymensingh,Muktagachha,BD456165,1426,1432,0.2966,0.01,0.2866,96.63,Loss,OK
Rangpur,Dinajpur,Chirirbandar,BD552730,1421,1426,0.2962,0.01,0.2862,96.62,Loss,OK
Khulna,Jhenaidah,Kaliganj,BD404433,1371,1387,0.2959,0.0099,0.286,96.65,Loss,OK
Rajshahi,Sirajganj,Royganj,BD508861,1189,1189,0.2959,0.01,0.2859,96.62,Loss,OK
Mymensingh,Mymensingh,Fulbaria,BD456120,1772,1777,0.2959,0.01,0.2859,96.62,Loss,OK
Khulna,Jhenaidah,Harinakunda,BD404414,1018,1024,0.2957,0.01,0.2857,96.62,Loss,OK
Mymensingh,Netrakona,Kendua,BD457247,1363,1363,0.2957,0.01,0.2857,96.62,Loss,OK
Mymensingh,Jamalpur,Bakshiganj,BD453907,936,936,0.2955,0.01,0.2855,96.62,Loss,OK
Khulna,Jessore,Jhikargachha,BD404123,1372,1374,0.2954,0.01,0.2854,96.61,Loss,OK
Chittagong,Brahamanbaria,Akhaura,BD201202,398,407,0.2953,0.0099,0.2854,96.65,Loss,OK
Sylhet,Sunamganj,Bishwambarpur,BD609018,690,849,0.2943,0.0091,0.2852,96.91,Loss,OK
Chittagong,Chandpur,Shahrasti,BD201395,700,700,0.2951,0.01,0.2851,96.61,Loss,OK
Rangpur,Dinajpur,Birampur,BD552710,955,972,0.2949,0.0099,0.285,96.64,Loss,OK
Barisal,Barisal,Agailjhara,BD100602,672,689,0.2941,0.0099,0.2842,96.63,Loss,OK
Rangpur,Kurigram,Bhurungamari,BD554906,1039,1077,0.2939,0.0098,0.2841,96.67,Loss,OK
Khulna,Jessore,Bagher Para,BD404109,1209,1211,0.294,0.01,0.284,96.6,Loss,OK
Dhaka,Madaripur,Kalkini,BD305440,1199,1256,0.2937,0.0098,0.2839,96.66,Loss,OK
Rangpur,Panchagarh,Atwari,BD557704,946,946,0.2938,0.01,0.2838,96.6,Loss,OK
Khulna,Jhenaidah,Maheshpur,BD404471,1764,1799,0.2937,0.0099,0.2838,96.63,Loss,OK
Dhaka,Narsingdi,Palash,BD306863,422,439,0.2933,0.0098,0.2835,96.66,Loss,OK
Rangpur,Gaibandha,Gobindaganj,BD553230,2090,2104,0.2935,0.01,0.2835,96.59,Loss,OK
Chittagong,Brahamanbaria,Brahmanbaria Sadar,BD201213,899,985,0.2924,0.0096,0.2828,96.72,Loss,OK
Khulna,Kushtia,Bheramara,BD405015,567,691,0.2919,0.0092,0.2827,96.85,Loss,OK
Dhaka,Kishoreganj,Hossainpur,BD304827,533,533,0.2923,0.01,0.2823,96.58,Loss,OK
Mymensingh,Mymensingh,Gaffargaon,BD456122,1726,1787,0.2914,0.0098,0.2816,96.64,Loss,OK
Mymensingh,Netrakona,Purbadhala,BD457283,1418,1424,0.2912,0.01,0.2812,96.57,Loss,OK
Mymensingh,Mymensingh,Bhaluka,BD456113,1991,2000,0.2911,0.01,0.2811,96.56,Loss,OK
Mymensingh,Mymensingh,Dhobaura,BD456116,1126,1133,0.2911,0.01,0.2811,96.56,Loss,OK
Khulna,Magura,Sreepur,BD405595,803,814,0.2909,0.0099,0.281,96.6,Loss,OK
Mymensingh,Netrakona,Netrokona Sadar,BD457274,1491,1504,0.2908,0.01,0.2808,96.56,Loss,OK
Rangpur,Panchagarh,Panchagarh Sadar,BD557773,1581,1584,0.2907,0.01,0.2807,96.56,Loss,OK
Khulna,Jhenaidah,Kotchandpur,BD404442,727,767,0.2901,0.0097,0.2804,96.66,Loss,OK
Rajshahi,Bogra,Kahaloo,BD501054,1054,1083,0.2903,0.0099,0.2804,96.59,Loss,OK
Mymensingh,Netrakona,Durgapur,BD457218,1243,1266,0.2902,0.0099,0.2803,96.59,Loss,OK
Khulna,Jessore,Sharsha,BD404190,1460,1497,0.2902,0.0099,0.2803,96.59,Loss,OK
Chittagong,Chandpur,Matlab Dakshin,BD201376,537,557,0.29,0.0098,0.2802,96.62,Loss,OK
Chittagong,Brahamanbaria,Nasirnagar,BD201290,945,1409,0.289,0.0089,0.2801,96.92,Loss,OK
Chittagong,Chandpur,Hajiganj,BD201349,833,853,0.29,0.0099,0.2801,96.59,Loss,OK
Rangpur,Rangpur,Pirgachha,BD558573,1180,1185,0.2896,0.01,0.2796,96.55,Loss,OK
Rangpur,Dinajpur,Parbatipur,BD552777,1759,1775,0.2895,0.01,0.2795,96.55,Loss,OK
Dhaka,Shariatpur,Gosairhat,BD308636,613,683,0.2884,0.0095,0.2789,96.71,Loss,OK
Mymensingh,Sherpur,Nakla,BD458967,776,782,0.2889,0.01,0.2789,96.54,Loss,OK
Khulna,Jhenaidah,Jhenaidah Sadar,BD404419,2011,2039,0.2886,0.0099,0.2787,96.57,Loss,OK
Khulna,Chuadanga,Jiban Nagar,BD401855,893,900,0.2884,0.01,0.2784,96.53,Loss,OK
Khulna,Bagerhat,Kachua,BD400138,550,564,0.2881,0.0099,0.2782,96.56,Loss,OK
Rangpur,Rangpur,Mitha Pukur,BD558558,2339,2340,0.2881,0.01,0.2781,96.53,Loss,OK
Rangpur,Panchagarh,Boda,BD557725,1394,1394,0.288,0.01,0.278,96.53,Loss,OK
Rangpur,Rangpur,Taraganj,BD558592,593,593,0.2879,0.01,0.2779,96.53,Loss,OK
Rangpur,Kurigram,Rajarhat,BD554977,725,742,0.2878,0.0099,0.2779,96.56,Loss,OK
Rajshahi,Bogra,Dhupchanchia,BD501033,724,744,0.2875,0.0099,0.2776,96.56,Loss,OK
Khulna,Kushtia,Kushtia Sadar,BD405079,1244,1361,0.2872,0.0096,0.2776,96.66,Loss,OK
Rajshahi,Natore,Lalpur,BD506944,1340,1462,0.2867,0.0097,0.277,96.62,Loss,OK
Mymensingh,Jamalpur,Islampur,BD453929,1048,1500,0.2853,0.0086,0.2767,96.99,Loss,OK
Khulna,Meherpur,Gangni,BD405747,1522,1535,0.2867,0.01,0.2767,96.51,Loss,OK
Rajshahi,Nawabganj,Bholahat,BD507018,556,562,0.2865,0.0099,0.2766,96.54,Loss,OK
Dhaka,Kishoreganj,Bhairab,BD304811,338,549,0.2845,0.0081,0.2764,97.15,Loss,OK
Rajshahi,Bogra,Dhunat,BD501027,1060,1115,0.2857,0.0098,0.2759,96.57,Loss,OK
Mymensingh,Mymensingh,Mymensingh Sadar,BD456152,1610,1691,0.2856,0.0098,0.2758,96.57,Loss,OK
Dhaka,Gopalganj,Muksudpur,BD303558,1360,1369,0.2856,0.01,0.2756,96.5,Loss,OK
Dhaka,Rajbari,Rajbari Sadar,BD308276,1263,1454,0.2848,0.0094,0.2754,96.7,Loss,OK
Rangpur,Gaibandha,Sundarganj,BD553291,1568,1879,0.2842,0.0092,0.275,96.76,Loss,OK
Dhaka,Faridpur,Madhukhali,BD302956,962,988,0.2848,0.0099,0.2749,96.52,Loss,OK
Barisal,Barisal,Wazirpur,BD100694,1030,1111,0.2842,0.0096,0.2746,96.62,Loss,OK
Rangpur,Dinajpur,Ghoraghat,BD552743,672,674,0.2844,0.01,0.2744,96.48,Loss,OK
Khulna,Bagerhat,Fakirhat,BD400134,652,712,0.2837,0.0096,0.2741,96.62,Loss,OK
Rangpur,Kurigram,Phulbari,BD554918,726,750,0.2839,0.0098,0.2741,96.55,Loss,OK
Khulna,Kushtia,Daulatpur,BD405039,1868,2064,0.2836,0.0096,0.274,96.61,Loss,OK
Chittagong,Chandpur,Haim Char,BD201347,248,374,0.2832,0.0093,0.2739,96.72,Loss,OK
Sylhet,Sunamganj,Dowarabazar,BD609033,1245,1322,0.2834,0.0097,0.2737,96.58,Loss,OK
Rajshahi,Pabna,Pabna Sadar,BD507655,1692,1909,0.283,0.0094,0.2736,96.68,Loss,OK
Chittagong,Brahamanbaria,Nabinagar,BD201285,1452,1620,0.283,0.0095,0.2735,96.64,Loss,OK
Rajshahi,Bogra,Sonatola,BD501095,669,702,0.2825,0.0098,0.2727,96.53,Loss,OK
Khulna,Magura,Mohammadpur,BD405566,975,1016,0.2825,0.0098,0.2727,96.53,Loss,OK
Khulna,Kushtia,Khoksa,BD405063,460,471,0.2825,0.0099,0.2726,96.5,Loss,OK
Dhaka,Faridpur,Boalmari,BD302918,1207,1213,0.2825,0.01,0.2725,96.46,Loss,OK
Rajshahi,Joypurhat,Akkelpur,BD503813,630,635,0.2825,0.01,0.2725,96.46,Loss,OK
Dhaka,Gopalganj,Kashiani,BD303543,1242,1281,0.2822,0.0098,0.2724,96.53,Loss,OK
Rajshahi,Naogaon,Niamatpur,BD506469,1993,2002,0.2824,0.01,0.2724,96.46,Loss,OK
Rangpur,Kurigram,Kurigram Sadar,BD554952,874,1219,0.2808,0.0086,0.2722,96.94,Loss,OK
Sylhet,Sylhet,Balaganj,BD609108,1479,1737,0.2814,0.0093,0.2721,96.7,Loss,OK
Khulna,Jessore,Manirampur,BD404161,1832,1966,0.2817,0.0097,0.272,96.56,Loss,OK
Rangpur,Kurigram,Nageshwari,BD554961,1651,1906,0.2812,0.0093,0.2719,96.69,Loss,OK
Rajshahi,Bogra,Shajahanpur,BD501085,1000,1006,0.2818,0.01,0.2718,96.45,Loss,OK
Dhaka,Manikganj,Saturia,BD305670,630,630,0.2817,0.01,0.2717,96.45,Loss,OK
Khulna,Satkhira,Kaliganj,BD408747,800,1439,0.2792,0.0078,0.2714,97.21,Loss,OK
Sylhet,Sylhet,Gowainghat,BD609141,2076,2151,0.281,0.0098,0.2712,96.51,Loss,OK
Rajshahi,Joypurhat,Panchbibi,BD503874,1298,1302,0.2811,0.01,0.2711,96.44,Loss,OK
Rangpur,Rangpur,Badarganj,BD558503,1300,1313,0.2807,0.01,0.2707,96.44,Loss,OK
Dhaka,Shariatpur,Damudya,BD308625,423,423,0.2807,0.01,0.2707,96.44,Loss,OK
Rajshahi,Bogra,Bogra Sadar,BD501020,719,789,0.2799,0.0096,0.2703,96.57,Loss,OK
Sylhet,Habiganj,Nabiganj,BD603677,1891,1943,0.28,0.0099,0.2701,96.46,Loss,OK
Dhaka,Gazipur,Kaliganj,BD303334,951,1003,0.2792,0.0097,0.2695,96.53,Loss,OK
Rangpur,Dinajpur,Hakimpur,BD552747,446,449,0.2794,0.01,0.2694,96.42,Loss,OK
Rangpur,Nilphamari,Kishoreganj,BD557345,931,931,0.2794,0.01,0.2694,96.42,Loss,OK
Rangpur,Thakurgaon,Baliadangi,BD559408,1277,1277,0.2793,0.01,0.2693,96.42,Loss,OK
Chittagong,Comilla,Muradnagar,BD201981,1514,1523,0.2793,0.01,0.2693,96.42,Loss,OK
Rajshahi,Bogra,Shibganj,BD501094,1374,1403,0.2791,0.0099,0.2692,96.45,Loss,OK
Rangpur,Kurigram,Raumari,BD554979,865,909,0.2791,0.0099,0.2692,96.45,Loss,OK
Mymensingh,Jamalpur,Dewanganj,BD453915,992,1148,0.2783,0.0094,0.2689,96.62,Loss,OK
Rangpur,Nilphamari,Saidpur,BD557385,489,537,0.2784,0.0096,0.2688,96.55,Loss,OK
Rajshahi,Nawabganj,Shibganj,BD507088,2117,2339,0.2781,0.0097,0.2684,96.51,Loss,OK
Khulna,Kushtia,Kumarkhali,BD405071,1095,1207,0.2779,0.0095,0.2684,96.58,Loss,OK
Rangpur,Panchagarh,Tentulia,BD557790,858,858,0.2783,0.01,0.2683,96.41,Loss,OK
Khulna,Meherpur,Mujib Nagar,BD405760,503,506,0.2777,0.01,0.2677,96.4,Loss,OK
Rajshahi,Bogra,Sherpur,BD501088,1299,1325,0.2776,0.0099,0.2677,96.43,Loss,OK
Rajshahi,Sirajganj,Ullah Para,BD508894,1855,1855,0.2773,0.01,0.2673,96.39,Loss,OK
Khulna,Satkhira,Kalaroa,BD408743,1026,1029,0.2771,0.01,0.2671,96.39,Loss,OK
Khulna,Meherpur,Meherpur Sadar,BD405787,1158,1176,0.2765,0.0099,0.2666,96.42,Loss,OK
Dhaka,Shariatpur,Shariatpur Sadar,BD308669,781,782,0.2765,0.01,0.2665,96.38,Loss,OK
Khulna,Magura,Magura Sadar,BD405557,1788,1799,0.2764,0.01,0.2664,96.38,Loss,OK
Chittagong,Brahamanbaria,Banchharampur,BD201204,822,913,0.2754,0.0095,0.2659,96.55,Loss,OK
Rangpur,Dinajpur,Kaharole,BD552756,923,928,0.2758,0.01,0.2658,96.37,Loss,OK
Sylhet,Sunamganj,Tahirpur,BD609092,540,1429,0.2722,0.007,0.2652,97.43,Loss,OK
Dhaka,Kishoreganj,Karimganj,BD304842,795,908,0.2745,0.0094,0.2651,96.58,Loss,OK
Rajshahi,Rajshahi,Puthia,BD508182,870,876,0.2745,0.01,0.2645,96.36,Loss,OK
Rangpur,Thakurgaon,Thakurgaon Sadar,BD559494,3082,3137,0.2742,0.0099,0.2643,96.39,Loss,OK
Khulna,Chuadanga,Chuadanga Sadar,BD401823,1275,1285,0.2742,0.01,0.2642,96.35,Loss,OK
Sylhet,Sunamganj,Chhatak,BD609023,1820,1939,0.2738,0.0097,0.2641,96.46,Loss,OK
Khulna,Chuadanga,Damurhuda,BD401831,1333,1359,0.274,0.0099,0.2641,96.39,Loss,OK
Khulna,Chuadanga,Alamdanga,BD401807,1617,1623,0.2741,0.01,0.2641,96.35,Loss,OK
Khulna,Narail,Lohagara,BD406552,1233,1330,0.2736,0.0097,0.2639,96.45,Loss,OK
Rajshahi,Natore,Singra,BD506991,2377,2407,0.273,0.0099,0.2631,96.37,Loss,OK
Rangpur,Gaibandha,Saghatta,BD553288,832,1016,0.2721,0.0091,0.263,96.66,Loss,OK
Rajshahi,Joypurhat,Joypurhat Sadar,BD503847,997,1014,0.2726,0.0099,0.2627,96.37,Loss,OK
Rajshahi,Naogaon,Naogaon Sadar,BD506460,932,1215,0.2711,0.0088,0.2623,96.75,Loss,OK
Rajshahi,Naogaon,Porsha,BD506479,1183,1200,0.2721,0.0099,0.2622,96.36,Loss,OK
Rajshahi,Rajshahi,Bagha,BD508110,740,888,0.2717,0.0095,0.2622,96.5,Loss,OK
Rajshahi,Pabna,Chatmohar,BD507622,1349,1366,0.2721,0.0099,0.2622,96.36,Loss,OK
Dhaka,Tangail,Kalihati,BD309347,1213,1317,0.2715,0.0097,0.2618,96.43,Loss,OK
Chittagong,Chittagong,Pahartali,BD201555,6,42,0.2675,0.0057,0.2618,97.87,Loss,OK
Dhaka,Tangail,Mirzapur,BD309366,1615,1618,0.2716,0.01,0.2616,96.32,Loss,OK
Rangpur,Panchagarh,Debiganj,BD557734,1404,1408,0.2715,0.01,0.2615,96.32,Loss,OK
Sylhet,Sylhet,Companiganj,BD609127,1087,1168,0.2712,0.0097,0.2615,96.42,Loss,OK
Dhaka,Tangail,Nagarpur,BD309376,1090,1108,0.2712,0.01,0.2612,96.31,Loss,OK
Rangpur,Nilphamari,Domar,BD557315,1130,1132,0.2709,0.01,0.2609,96.31,Loss,OK
Dhaka,Madaripur,Rajoir,BD305480,1005,1012,0.2706,0.01,0.2606,96.3,Loss,OK
Rangpur,Kurigram,Ulipur,BD554994,1426,2075,0.2689,0.0085,0.2604,96.84,Loss,OK
Rangpur,Dinajpur,Bochaganj,BD552721,995,1006,0.2701,0.0099,0.2602,96.33,Loss,OK
Rajshahi,Natore,Gurudaspur,BD506941,872,879,0.27,0.01,0.26,96.3,Loss,OK
Chittagong,Brahamanbaria,Bijoynagar,BD201207,933,974,0.2698,0.01,0.2598,96.29,Loss,OK
Dhaka,Kishoreganj,Kishoreganj Sadar,BD304849,824,840,0.2693,0.0099,0.2594,96.32,Loss,OK
Rangpur,Nilphamari,Nilphamari Sadar,BD557364,1630,1702,0.2688,0.0098,0.259,96.35,Loss,OK
Rangpur,Dinajpur,Khansama,BD552760,818,818,0.269,0.01,0.259,96.28,Loss,OK
Dhaka,Tangail,Delduar,BD309323,749,749,0.2688,0.01,0.2588,96.28,Loss,OK
Dhaka,Dhaka,Dhamrai,BD302614,1346,1350,0.2688,0.01,0.2588,96.28,Loss,OK
Rajshahi,Sirajganj,Sirajganj Sadar,BD508878,1020,1416,0.2673,0.0087,0.2586,96.75,Loss,OK
Rangpur,Rangpur,Rangpur Sadar,BD558549,1378,1449,0.2684,0.0098,0.2586,96.35,Loss,OK
Rangpur,Rangpur,Kaunia,BD558542,607,640,0.2681,0.0097,0.2584,96.38,Loss,OK
Dhaka,Dhaka,Dohar,BD302618,398,647,0.2658,0.0082,0.2576,96.91,Loss,OK
Sylhet,Habiganj,Ajmiriganj,BD603602,626,829,0.2663,0.0088,0.2575,96.7,Loss,OK
Dhaka,Faridpur,Faridpur Sadar,BD302947,1423,1684,0.2667,0.0092,0.2575,96.55,Loss,OK
Rajshahi,Sirajganj,Belkuchi,BD508811,611,734,0.2665,0.0095,0.257,96.44,Loss,OK
Rajshahi,Rajshahi,Tanore,BD508194,1269,1329,0.2668,0.0098,0.257,96.33,Loss,OK
Rangpur,Kurigram,Chilmari,BD554909,412,1048,0.2638,0.0071,0.2567,97.31,Loss,OK
Rangpur,Thakurgaon,Pirganj,BD559482,1571,1581,0.2667,0.01,0.2567,96.25,Loss,OK
Rajshahi,Sirajganj,Tarash,BD508889,1337,1347,0.2666,0.01,0.2566,96.25,Loss,OK
Mymensingh,Mymensingh,Trishal,BD456194,1499,1510,0.2663,0.01,0.2563,96.24,Loss,OK
Dhaka,Tangail,Tangail Sadar,BD309395,1280,1427,0.2657,0.0096,0.2561,96.39,Loss,OK
Chittagong,Comilla,Manoharganj,BD201974,711,712,0.266,0.01,0.256,96.24,Loss,OK
Sylhet,Habiganj,Lakhai,BD603668,576,845,0.2637,0.0085,0.2552,96.78,Loss,OK
Dhaka,Gazipur,Kaliakair,BD303332,1367,1395,0.2649,0.0099,0.255,96.26,Loss,OK
Dhaka,Faridpur,Bhanga,BD302910,936,945,0.2647,0.01,0.2547,96.22,Loss,OK
Rangpur,Dinajpur,Birganj,BD552712,1864,1876,0.2646,0.01,0.2546,96.22,Loss,OK
Rangpur,Lalmonirhat,Lalmonirhat Sadar,BD555255,1139,1214,0.2642,0.0097,0.2545,96.33,Loss,OK
Rajshahi,Pabna,Santhia,BD507672,1473,1505,0.2641,0.0099,0.2542,96.25,Loss,OK
Rajshahi,Rajshahi,Godagari,BD508134,2067,2197,0.2638,0.0097,0.2541,96.32,Loss,OK
Rangpur,Thakurgaon,Ranisankail,BD559486,1309,1311,0.264,0.01,0.254,96.21,Loss,OK
Dhaka,Rajbari,Pangsha,BD308273,1021,1132,0.2635,0.0095,0.254,96.39,Loss,OK
Rangpur,Kurigram,Char Rajibpur,BD554908,302,538,0.2619,0.0079,0.254,96.98,Loss,OK
Dhaka,Narayanganj,Araihazar,BD306702,689,808,0.2626,0.0094,0.2532,96.42,Loss,OK
Rajshahi,Rajshahi,Paba,BD508172,1089,1355,0.2622,0.0091,0.2531,96.53,Loss,OK
Rangpur,Lalmonirhat,Kaliganj,BD555239,1109,1112,0.263,0.01,0.253,96.2,Loss,OK
Rangpur,Lalmonirhat,Aditmari,BD555202,870,895,0.2627,0.0099,0.2528,96.23,Loss,OK
Rajshahi,Rajshahi,Shah Makhdum,BD508190,25,33,0.2614,0.0088,0.2526,96.63,Loss,OK
Dhaka,Gazipur,Gazipur Sadar,BD303330,1927,2034,0.2616,0.0097,0.2519,96.29,Loss,OK
Rajshahi,Nawabganj,Nawabganj Sadar,BD507066,1610,1938,0.2608,0.0093,0.2515,96.43,Loss,OK
Khulna,Jessore,Keshabpur,BD404138,1051,1131,0.2607,0.0097,0.251,96.28,Loss,OK
Mymensingh,Netrakona,Atpara,BD457204,837,845,0.2609,0.01,0.2509,96.17,Loss,OK
Dhaka,Dhaka,Nawabganj,BD302662,1085,1109,0.2606,0.0099,0.2507,96.2,Loss,OK
Rajshahi,Naogaon,Manda,BD506447,1692,1864,0.2601,0.0095,0.2506,96.35,Loss,OK
Dhaka,Rajbari,Balia Kandi,BD308207,1055,1066,0.2605,0.0099,0.2506,96.2,Loss,OK
Chittagong,Comilla,Titas,BD201994,477,481,0.2597,0.01,0.2497,96.15,Loss,OK
Chittagong,Comilla,Homna,BD201954,559,577,0.2595,0.0098,0.2497,96.22,Loss,OK
Mymensingh,Netrakona,Kalmakanda,BD457240,1558,1721,0.258,0.0095,0.2485,96.32,Loss,OK
Dhaka,Shariatpur,Naria,BD308665,751,1071,0.2571,0.0086,0.2485,96.65,Loss,OK
Dhaka,Narsingdi,Narsingdi Sadar,BD306860,774,970,0.2575,0.009,0.2485,96.5,Loss,OK
Rangpur,Nilphamari,Jaldhaka,BD557336,1368,1380,0.2578,0.01,0.2478,96.12,Loss,OK
Rajshahi,Sirajganj,Kazipur,BD508850,1033,1667,0.2559,0.0082,0.2477,96.8,Loss,OK
Dhaka,Madaripur,Madaripur Sadar,BD305454,1228,1278,0.2574,0.0098,0.2476,96.19,Loss,OK
Khulna,Magura,Shalikha,BD405585,1015,1015,0.2571,0.01,0.2471,96.11,Loss,OK
Rangpur,Thakurgaon,Haripur,BD559451,901,901,0.257,0.01,0.247,96.11,Loss,OK
Dhaka,Faridpur,Alfadanga,BD302903,544,589,0.2562,0.0096,0.2466,96.25,Loss,OK
Rajshahi,Natore,Natore Sadar,BD506963,1658,1802,0.256,0.0096,0.2464,96.25,Loss,OK
Rajshahi,Joypurhat,Khetlal,BD503861,618,621,0.2562,0.01,0.2462,96.1,Loss,OK
Rajshahi,Joypurhat,Kalai,BD503858,712,740,0.2558,0.0098,0.246,96.17,Loss,OK
Dhaka,Gopalganj,Gopalganj Sadar,BD303532,1676,1708,0.2558,0.0099,0.2459,96.13,Loss,OK
Dhaka,Shariatpur,Bhedarganj,BD308614,1036,1159,0.255,0.0096,0.2454,96.24,Loss,OK
Rajshahi,Sirajganj,Shahjadpur,BD508867,1139,1448,0.2532,0.009,0.2442,96.45,Loss,OK
Khulna,Narail,Narail Sadar,BD406576,1700,1700,0.254,0.01,0.244,96.06,Loss,OK
Rajshahi,Bogra,Sariakandi,BD501081,889,1824,0.2511,0.0076,0.2435,96.97,Loss,OK
Rajshahi,Nawabganj,Gomastapur,BD507037,1334,1441,0.2531,0.0096,0.2435,96.21,Loss,OK
Dhaka,Manikganj,Singair,BD305682,922,945,0.2522,0.0099,0.2423,96.07,Loss,OK
Dhaka,Faridpur,Sadarpur,BD302984,729,1229,0.2503,0.008,0.2423,96.8,Loss,OK
Dhaka,Munshiganj,Sreenagar,BD305984,788,883,0.251,0.0095,0.2415,96.22,Loss,OK
Dhaka,Manikganj,Ghior,BD305622,641,641,0.2509,0.01,0.2409,96.01,Loss,OK
Dhaka,Rajbari,Kalukhali,BD308247,704,728,0.2505,0.0098,0.2407,96.09,Loss,OK
Dhaka,Narayanganj,Sonargaon,BD306704,705,802,0.2501,0.0094,0.2407,96.24,Loss,OK
Dhaka,Manikganj,Manikganj Sadar,BD305646,930,950,0.2501,0.0099,0.2402,96.04,Loss,OK
Rangpur,Rangpur,Gangachara,BD558527,1126,1200,0.2498,0.0097,0.2401,96.12,Loss,OK
